device,time_ms,MAE_mean,MAE_std
oppo,100,3.616495220318647,0.04099569744932936
oppo,200,3.6234431571538193,0.0509696572969153
oppo,500,3.625423818083329,0.04944484695119341
oppo,1000,3.689446065085137,0.048953016377088564
oppo,1500,3.9609043174067455,0.08324271025748936
phone,100,3.6770044995903923,0.086361469459465
phone,200,3.629221053668587,0.08186836975978454
phone,500,3.5379106533571005,0.07961852495762925
phone,1000,3.571479504544689,0.056095849839526174
phone,1500,3.671319443720505,0.09218844631782927
um,100,3.3816232513905615,0.021356465094074878
um,200,3.3710038833906375,0.036043029868274554
um,500,3.3686211445602816,0.04928766120387775
um,1000,3.419695897985768,0.06722092271073407
um,1500,3.5517085413440537,0.03580386269777045
